Título,Links
Anúncio de aluguel no Rio viraliza e gera piadas com colchão dentro de banheiro,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/01/26/anuncio-de-aluguel-no-rio-viraliza-com-mini-suite-com-colchao-ao-lado-de-chuveiro-e-privada.ghtml
"Nenê zera no bafômetro em blitz, mas leva R$ 3,2 mil em multas",https://oglobo.globo.com/blogs/ancelmo-gois/post/2023/01/nene-do-vasco-e-multado-duas-vezes-em-blitz-da-lei-seca-e-tera-de-pagar-r-32-mil.ghtml
"Alvo de racismo, Vini Jr. marca, 'baila' e provoca: 'Só existe um Madrid'",https://ge.globo.com/futebol/futebol-internacional/futebol-espanhol/noticia/2023/01/26/apos-vitoria-do-real-madrid-vinicius-junior-provoca-atletico-de-madrid.ghtml
"Flamengo vende João Gomes para o Wolverhampton por R$ 103,2 milhões",https://ge.globo.com/futebol/times/flamengo/noticia/2023/01/26/fim-da-novela-flamengo-vende-joao-gomes-para-o-wolverhampton.ghtml
"Abalada, mãe de Daniel Alves se reúne com advogados em Barcelona",https://ge.globo.com/futebol/futebol-internacional/noticia/2023/01/26/abalada-mae-de-daniel-alves-se-reune-com-advogados-em-barcelona.ghtml
"Galoppo faz 2, São Paulo goleia a Lusa e lidera o grupo B do Paulistão",https://ge.globo.com/sp/futebol/campeonato-paulista/jogo/26-01-2023/sao-paulo-portuguesa.ghtml
Erika Schneider se refresca no mar em dia de calor forte no Rio de Janeiro,https://revistaquem.globo.com/noticias/noticia/2023/01/erika-schneider-usa-biquini-branco-para-curtir-praia-na-barra-da-tijuca.ghtml
Descuido de Fred com toalha e olhadinha de Larissa no BBB 23 esquentam a web,https://gshow.globo.com/realities/bbb/bbb-23/internet-ta-vendo/noticia/descuido-de-fred-com-toalha-e-olhadinha-de-larissa-no-bbb-23-esquentam-a-web.ghtml
Scooby se pronuncia após Piovani dizer que está sendo processada por ele,https://revistaquem.globo.com/entretenimento/tv-e-novelas/noticia/2023/01/pedro-scooby-se-pronuncia-apos-luana-piovani-dizer-que-esta-sendo-processada-por-ele.ghtml
Sheila Mello diz estar em retiro tântrico: 'Processo forte e dolorido',https://revistaquem.globo.com/noticias/noticia/2023/01/sheila-mello-posa-de-topless-em-rio-e-faz-reflexao.ghtml
"Por polêmica do fio dental, Tina detona Amanda no BBB 23: 'Submissa'",https://gshow.globo.com/realities/bbb/bbb-23/dentro-da-casa/noticia/tina-do-bbb-23-sobre-amanda-ficou-submissa.ghtml
